ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
L29,N30,1.176441,EC90,GC00
F07,G40,1.369011,6E6Z,8A6Z
F13,F19,1.017692,6C44,6C4D
G24,R53,1.337035,8A02,MG25
B15,F19,1.88652210831,1E50.0,6C4D
B34,J10,1.257826,1D9Z,1E30
B24,R44,1.005816,1C62.1,MB27
J10,N30,1.054814,1E30,GC00
R44,T73,1.024795,MB27,NF07
B95,L29,1.509293,XN9ZG,EC90
F04,R41,2.47474347091,6D72.0,MB21
E11,I10,1.77514029719,5A11,BA00
B18,F14,2.20852444302,1E51,6C45
E51,F10,1.366981,5B5A,6C40
E14,R73,2.52179529825,5A14,MA18.0Z
J00,R50,1.19552,CA00,MG26
M54,R50,1.125581,ME84,MG26
J10,T73,1.104914,1E30,NF07
F15,R46,1.176762,6C4C,MB23
R05,T73,1.034703,MD12,NF07
R50,R53,1.202932,MG26,MG25
B24,R46,1.184432,1C62.1,MB23
F50,Z50,1.8777250653,6B8Z,QB95
B90,R05,1.265351,1G80,MD12
J00,J42,1.190313,CA00,CA20.1Z
E51,H55,2.75259711439,5B5A,9C84
J42,R53,1.197208,CA20.1Z,MG25
B15,B17,2.66257153255,1E50.0,1E50
K76,K77,2.31005511783,DB99.Y,1H0Z
A46,R60,2.30160811051,1B70,MG29
B34,R50,2.21596069518,1D9Z,MG26
L29,L40,1.248312,EC90,EA90
G44,J00,1.002683,8A84,CA00
F06,F18,1.96948323355,6E6Z,6C4B
B34,L30,1.57963052743,1D9Z,EA8Z
F04,F18,2.72909394362,6D72.0,6C4B
L29,R30,1.174058,EC90,MF50
I10,I61,1.54775960019,BA00,8B00
F07,I69,2.33583535592,6E6Z,8B25
J00,T14,1.54074379568,CA00,ND56
R11,R26,1.77020674092,MD90.1,MB44
L89,R05,1.439593,EH90,MD12
J98,R05,1.46139,CB40.Y,MD12
B17,B24,2.24069807586,1E50,1C62.1
J00,R13,1.202829,CA00,MD93
