ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
L30,T14,1.358152,EA8Z,ND56
F32,G44,1.09472,6A70,8A84
M54,R10,1.008209,ME84,MD81.4
F19,G24,1.040161,6C4D,8A02
B06,B26,1.57186684311,1F02.2,1D80.0
J10,K59,1.225843,1E30,DD91
A41,J00,1.360221,1G40,CA00
J10,T14,1.034749,1E30,ND56
F06,I63,2.02685121965,6E6Z,8B11.3
L25,L30,1.9025121551,EK5Y,EA8Z
G62,H18,1.87651694656,8C03,9A78.8
L89,R02,2.0758019009,EH90,MC85
B68,L40,2.0436269324,1F76,EA90
E66,I20,1.87611446503,5B81,BA40
R06,R50,1.031643,MD11,MG26
F25,R33,1.77260472999,6A21,MF50.3
T00,T14,2.06695550604,ND30,ND56
F03,I46,1.97632100353,6D8Z,MC82
R26,R27,1.55235783529,MB44,MB45
J44,M54,1.255622,CA22,ME84
I10,R60,1.021392,BA00,MG29
F05,I61,1.64946590388,6D70,8B00
J00,L73,1.76884615552,CA00,ED9Y
H40,M54,1.52127073909,9C61,ME84
A46,F91,1.90612340865,1B70,6C91
F60,Y06,1.058163,6D10,PB5A
R40,T90,2.04942380626,MB20.Y,NA0Z
F33,G62,1.241469,6A71,8C03
K59,Z04,1.468824,DD91,MF3Y
F22,R23,1.01821,6A24,ME66.Y
E87,L30,1.454302,5C7Z,EA8Z
F05,R41,1.345358,6D70,MB21
B01,B05,1.57099801138,1E90,1F03.0
J10,J98,1.182333,1E30,CB40.Y
B90,J98,2.09301752921,1G80,CB40.Y
B17,R31,1.97632100353,1E50,MF50.4Z
F22,F65,1.387529,6A24,6D3Z
E78,G43,1.429893,5C8Z,8A8Z
A49,F22,1.280636,1C41,6A24
K59,R05,1.147528,DD91,MD12
J00,R11,1.011682,CA00,MD90.1
L30,R32,1.184857,EA8Z,MF50.2Z
I95,R26,1.58189619767,BA2Z,MB44
B95,N90,2.05015005598,XN9ZG,GA1Z
F15,R23,1.69028023658,6C4C,ME66.Y
K76,R17,2.06182004917,DB99.Y,ME10.1
E61,R05,1.046719,5B7Z,MD12
F19,T40,1.85256462482,6C4D,NE60
L30,L89,1.486,EA8Z,EH90
B18,M41,2.08289704991,1E51,FA70.1
R33,R60,1.67049550653,MF50.3,MG29
B20,B23,1.56926191606,1C62,1C62
F21,Y06,1.437481,6A22,PB5A
G44,N30,1.273228,8A84,GC00
B95,R10,1.95632952834,XN9ZG,MD81.4
G62,R41,1.293703,8C03,MB21
X60,X78,1.56969574407,PC94,PC53
B18,B23,2.04507396867,1E51,1C62
B18,K72,2.04507396867,1E51,DB99.7
J10,R02,1.40578,1E30,MC85
K77,R11,1.315529,1H0Z,MD90.1
F14,F16,2.01085731078,6C45,6C49
K56,R11,2.06548636636,DB30,MD90.1
E11,R35,2.02494635713,5A11,MF50.1
L70,M54,1.329347,ED80,ME84
E66,R02,1.73462877237,5B81,MC85
G40,Z50,1.086052,8A6Z,QB95
M06,M11,2.04543595463,FA20,FA26
G24,H53,1.003966,8A02,9D7Z
I26,I80,1.5679612142,BB00,BD70
L30,R10,1.216359,EA8Z,MD81.4
J42,J44,1.9236139532,CA20.1Z,CA22
E05,G44,1.94873898448,5A02,8A84
L30,M40,1.276073,EA8Z,FA70.2
R31,R53,1.141092,MF50.4Z,MG25
B34,R02,2.07008240415,1D9Z,MC85
F91,I46,1.550986615,6C91,MC82
F50,O00,1.96790987837,6B8Z,JA01
R23,R26,1.305685,ME66.Y,MB44
M40,M53,2.07962753475,FA70.2,FB0Y
A41,J10,1.1856,1G40,1E30
E56,G62,1.79291674495,5B59,8C03
N30,R13,1.496365,GC00,MD93
K25,K29,1.60664530588,DA60,DA42
A46,R26,1.503797,1B70,MB44
E16,R26,1.65850156743,5A4Z,MB44
G43,J42,1.252469,8A8Z,CA20.1Z
B95,F98,1.93307185031,XN9ZG,6B0Z
M53,M70,1.5649307959,FB0Y,FB50.1
J45,R11,1.298387,CA23.32,MD90.1
G47,N90,1.351734,7B2Z,GA1Z
B34,G43,1.432598,1D9Z,8A8Z
I95,R11,1.9938738972,BA2Z,MD90.1
E66,G24,1.065028,5B81,8A02
G44,K29,1.7528657977,8A84,DA42
L65,M40,2.04776517845,ED70,FA70.2
E78,G44,1.431624,5C8Z,8A84
L30,R25,1.453771,EA8Z,MB46
F07,S06,1.81829323575,6E6Z,NA07
B95,L97,2.0278045949,XN9ZG,ME60.2
B23,R05,1.421136,1C62,MD12
L30,R02,1.71003102909,EA8Z,MC85
F25,F30,1.98343215048,6A21,6A8Z
E66,R73,1.335513,5B81,MA18.0Z
L29,L65,1.223254,EC90,ED70
I10,I15,1.89662226015,BA00,BA04
F10,K70,1.166132,6C40,DB94
A46,J10,1.028019,1B70,1E30
F07,R40,1.52080928475,6E6Z,MB20.Y
I95,R60,1.74910877724,BA2Z,MG29
R05,Z30,1.375343,MD12,QA21
K59,R53,1.34138,DD91,MG25
B24,K25,1.142775,1C62.1,DA60
J10,L53,1.464043,1E30,EM0Z
G81,R41,1.89026855934,MB53.0,MB21
F22,K29,1.266957,6A24,DA42
I60,I61,1.84073595751,8B01.2,8B00
R02,R12,1.58309008639,MC85,MD95
N91,O92,1.56666168398,GA20.0Z,JB46.2
B18,K76,2.05816302556,1E51,DB99.Y
E61,R33,2.03307654262,5B7Z,MF50.3
I61,K25,1.114235,8B00,DA60
B24,T30,1.89343286119,1C62.1,NE11
B15,R06,1.40702,1E50.0,MD11
K02,R15,1.56233835128,DA08.0,ME07
L89,R50,1.88693096968,EH90,MG26
R11,R13,1.69223192857,MD90.1,MD93
B34,L03,1.86130103767,1D9Z,1B70.1
R05,R25,1.055924,MD12,MB46
F23,Z04,1.14387,6A23,MF3Y
J18,L29,1.35012,CA40,EC90
H40,R02,1.88540006752,9C61,MC85
B22,K77,1.88232516527,1C62,1H0Z
R11,R60,1.507948,MD90.1,MG29
B86,L30,1.52788605814,1G04,EA8Z
G40,M40,1.33281,8A6Z,FA70.2
E78,I69,1.96085093681,5C8Z,8B25
E87,I50,2.02209377085,5C7Z,BD1Z
R17,R18,2.02423268161,ME10.1,ME04
R05,R19,1.185551,MD12,ME1Y
R09,R26,1.62565460142,MC9Y,MB44
F70,J45,1.67811974327,6A00.0,CA23.32
K02,R33,2.04845604165,DA08.0,MF50.3
F51,G43,1.403647,7B2Z,8A8Z
B23,F12,1.54560006845,1C62,6C41
H10,L30,1.346381,9A60,EA8Z
E11,T73,1.62026936946,5A11,NF07
J42,M11,1.508031,CA20.1Z,FA26
A46,Z04,1.250616,1B70,MF3Y
R17,R46,1.338541,ME10.1,MB23
R10,R60,1.54816258252,MD81.4,MG29
R11,R39,1.494871,MD90.1,MF5Y
J45,M11,1.146694,CA23.32,FA26
A46,R12,1.200913,1B70,MD95
K56,R26,1.67239046099,DB30,MB44
G24,R26,1.174269,8A02,MB44
B17,R11,1.81150479613,1E50,MD90.1
R12,R33,1.1437,MD95,MF50.3
R12,T14,1.170661,MD95,ND56
B22,B23,1.56406612998,1C62,1C62
R60,R73,1.65389452203,MG29,MA18.0Z
M15,M17,1.56277010201,FA05,FA01
A41,B17,2.00087728494,1G40,1E50
